name	age	debut age	juni-sen	ryuo-sen	oui-league	osho-league	wins	games	champions	get_titles	titles
豊島将之	29	16	15	15	3	3	118	175	1	4	7
渡辺明	35	15	14	15	1	3	102	154	2	6	7
永瀬拓矢	27	17	9	13	1	0	117	153	0	2	3
木村一基	46	23	13	13	3	0	65	117	0	1	1
羽生善治	49	15	15	15	3	1	90	155	1	2	6
谷川浩司	57	14	12	7	2	0	63	122	0	0	0
佐藤康光	50	17	15	14	0	0	50	101	0	0	0
森内俊之	49	16	0	12	0	0	21	58	0	0	0
丸山忠久	49	19	10	15	1	0	68	120	0	0	0
郷田真隆	49	19	12	14	0	2	63	122	0	0	0
屋敷伸之	48	16	13	15	0	0	34	90	0	0	0
深浦康市	48	19	14	14	0	1	61	115	1	0	0
久保利明	44	17	15	15	0	3	64	123	1	1	2
三浦弘行	46	18	15	14	0	1	63	116	0	0	0
佐藤天彦	32	18	15	13	1	1	60	115	1	2	3
行方尚史	46	19	13	10	0	0	57	107	0	0	0
山崎隆之	39	17	12	14	1	0	69	122	2	0	0
広瀬章人	33	18	15	14	1	2	92	153	0	1	4
阿久津主税	37	17	13	14	3	0	53	112	0	0	0
糸谷哲郎	31	17	14	15	0	3	61	114	0	0	0
松尾歩	40	19	12	15	0	0	60	117	0	0	0
稲葉陽	31	19	15	14	1	0	64	122	0	0	1
菅井竜也	27	17	12	6	3	0	90	143	0	1	2
斎藤慎太郎	26	18	12	9	0	1	86	139	0	1	3
中村太地	31	17	9	10	1	1	62	114	0	1	2
高見𣳾地	26	18	3	6	0	0	81	126	0	1	2
千田翔太	25	18	9	4	2	0	102	142	1	0	0
近藤誠也	23	19	7	2	0	0	99	144	0	0	0
